award_id,request_id,award_date,category_l1,category_l2,country,business_unit,supplier_id,supplier_name,total_value,currency,quantity,required_by_date,awarded,award_rank,decision_rationale,policy_compliant,preferred_supplier_used,escalation_required,escalated_to,savings_pct,lead_time_days,risk_score_at_award,notes
AWD-000001,REQ-000001,2026-04-21,Professional Services,IT Project Management Services,ES,Digital Workplace,SUP-0030,Accenture Advisory Europe,448000.0,EUR,400.0,2026-05-17,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,,7.5,13,25,
AWD-000002,REQ-000001,2026-04-22,Professional Services,IT Project Management Services,ES,Digital Workplace,SUP-0031,Capgemini Consulting,412000.0,EUR,400.0,2026-05-17,False,2,Best compliant combination of price and lead time,True,True,False,Head of Strategic Sourcing,0.0,14,22,
AWD-000003,REQ-000002,2026-05-02,IT,Cloud Compute,NL,Regional IT EU,SUP-0012,Google Cloud Europe,1.34,EUR,10.0,2026-05-11,False,1,Best compliant combination of price and lead time,True,False,False,Head of Strategic Sourcing,0.0,28,15,
AWD-000004,REQ-000002,2026-04-27,IT,Cloud Compute,NL,Regional IT EU,SUP-0010,Azure Enterprise,1.4,EUR,10.0,2026-05-11,False,2,Best compliant combination of price and lead time,True,True,False,Head of Strategic Sourcing,0.0,27,17,
AWD-000005,REQ-000002,2026-05-02,IT,Cloud Compute,NL,Regional IT EU,SUP-0011,AWS Enterprise EMEA,3.4,EUR,25.0,2026-05-11,False,3,Best compliant combination of price and lead time,True,False,False,Head of Category,0.0,28,16,
AWD-000006,REQ-000003,2026-04-27,IT,Managed Cloud Platform Services,FR,Regional IT EU,SUP-0010,Azure Enterprise,1320000.0,EUR,60.0,2026-05-14,True,1,Strong incumbent performance and acceptable commercial terms,True,True,True,Procurement Manager,1.6,27,12,
AWD-000007,REQ-000003,2026-04-15,IT,Managed Cloud Platform Services,FR,Regional IT EU,SUP-0011,AWS Enterprise EMEA,1280400.0,EUR,60.0,2026-05-14,False,2,Selected due to policy compliance and supplier capability,True,False,True,Procurement Manager,0.0,29,21,
AWD-000008,REQ-000003,2026-04-12,IT,Managed Cloud Platform Services,FR,Regional IT EU,SUP-0012,Google Cloud Europe,1267200.0,EUR,60.0,2026-05-14,False,3,Selected due to policy compliance and supplier capability,True,False,True,,0.0,29,21,
AWD-000009,REQ-000004,2026-03-31,IT,Docking Stations,DE,Digital Workplace,SUP-0001,Dell Enterprise Europe,37200.0,EUR,240.0,2026-03-20,True,1,Not selected due to higher risk or weaker commercial position,True,True,True,Head of Category,4.7,22,15,
AWD-000010,REQ-000004,2026-03-15,IT,Docking Stations,DE,Digital Workplace,SUP-0007,Bechtle Workplace Solutions,35712.0,EUR,240.0,2026-03-20,False,2,Best compliant combination of price and lead time,True,True,True,Head of Category,0.0,26,19,
AWD-000011,REQ-000004,2026-03-18,IT,Docking Stations,DE,Digital Workplace,SUP-0002,HP Enterprise Devices,36828.0,EUR,240.0,2026-03-20,False,3,Not selected due to higher risk or weaker commercial position,True,True,True,Procurement Manager,0.0,23,26,
AWD-000012,REQ-000005,2026-03-28,IT,Desktop Workstations,DE,Data & Analytics,SUP-0002,HP Enterprise Devices,133650.0,EUR,50.0,2026-06-03,True,1,Best compliant combination of price and lead time,True,True,False,,9.4,26,18,
AWD-000013,REQ-000005,2026-04-16,IT,Desktop Workstations,DE,Data & Analytics,SUP-0003,Lenovo Commercial EU,132300.0,EUR,50.0,2026-06-03,False,2,Strong incumbent performance and acceptable commercial terms,True,True,False,Head of Category,0.0,27,23,
AWD-000014,REQ-000005,2026-04-02,IT,Desktop Workstations,DE,Data & Analytics,SUP-0008,Computacenter Devices,128250.0,EUR,50.0,2026-06-03,False,3,Not selected due to higher risk or weaker commercial position,True,False,False,Head of Strategic Sourcing,0.0,27,27,
AWD-000015,REQ-000006,2026-05-06,IT,Replacement / Break-Fix Pool Devices,ES,Global IT,SUP-0001,Dell Enterprise Europe,5460000.0,EUR,6000.0,2026-06-06,True,1,Not selected due to higher risk or weaker commercial position,True,True,True,Head of Strategic Sourcing,5.8,14,17,
AWD-000016,REQ-000006,2026-04-30,IT,Replacement / Break-Fix Pool Devices,ES,Global IT,SUP-0006,Panasonic Toughbook Europe,5896800.0,EUR,6000.0,2026-06-06,False,2,Selected due to policy compliance and supplier capability,True,False,True,Procurement Manager,0.0,13,23,
AWD-000017,REQ-000006,2026-04-29,IT,Replacement / Break-Fix Pool Devices,ES,Global IT,SUP-0007,Bechtle Workplace Solutions,5241600.0,EUR,6000.0,2026-06-06,False,3,Best compliant combination of price and lead time,True,True,True,,0.0,16,19,
AWD-000018,REQ-000007,2026-05-06,IT,Cloud Networking,ES,Digital Workplace,SUP-0010,Azure Enterprise,11200.0,EUR,400000.0,2026-04-28,True,1,Strong incumbent performance and acceptable commercial terms,True,True,False,,6.0,15,17,
AWD-000019,REQ-000007,2026-05-03,IT,Cloud Networking,ES,Digital Workplace,SUP-0013,OVHcloud Enterprise,10080.0,EUR,400000.0,2026-04-28,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,,0.0,16,15,
AWD-000020,REQ-000007,2026-04-21,IT,Cloud Networking,ES,Digital Workplace,SUP-0012,Google Cloud Europe,10760.0,EUR,400000.0,2026-04-28,False,3,Selected due to policy compliance and supplier capability,True,False,False,Head of Category,0.0,12,21,
AWD-000021,REQ-000008,2026-03-16,IT,Cloud Networking,DE,Global IT,SUP-0010,Azure Enterprise,11200.0,EUR,400000.0,2026-03-22,True,1,Selected due to policy compliance and supplier capability,True,True,False,Head of Strategic Sourcing,3.4,15,17,
AWD-000022,REQ-000008,2026-03-18,IT,Cloud Networking,DE,Global IT,SUP-0013,OVHcloud Enterprise,10080.0,EUR,400000.0,2026-03-22,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,Head of Category,0.0,16,15,
AWD-000023,REQ-000008,2026-03-29,IT,Cloud Networking,DE,Global IT,SUP-0012,Google Cloud Europe,10760.0,EUR,400000.0,2026-03-22,False,3,Not selected due to higher risk or weaker commercial position,True,False,False,Head of Category,0.0,12,21,
AWD-000024,REQ-000009,2026-04-08,Professional Services,IT Project Management Services,FR,Global IT,SUP-0030,Accenture Advisory Europe,26432.0,EUR,20.0,2026-04-11,True,1,Best compliant combination of price and lead time,True,True,False,Head of Category,9.4,28,25,
AWD-000025,REQ-000009,2026-04-08,Professional Services,IT Project Management Services,FR,Global IT,SUP-0031,Capgemini Consulting,24308.0,EUR,20.0,2026-04-11,False,2,Best compliant combination of price and lead time,True,True,False,Procurement Manager,0.0,28,22,
AWD-000026,REQ-000009,2026-04-07,Professional Services,IT Project Management Services,FR,Global IT,SUP-0033,Deloitte Technology Advisory,25488.0,EUR,20.0,2026-04-11,False,3,Best compliant combination of price and lead time,True,False,False,Head of Strategic Sourcing,0.0,27,27,
AWD-000027,REQ-000010,2026-03-27,IT,Rugged Devices,IT,Global IT,SUP-0006,Panasonic Toughbook Europe,159840.0,EUR,80.0,2026-05-02,True,1,Best compliant combination of price and lead time,True,False,False,Head of Strategic Sourcing,6.7,26,15,
AWD-000028,REQ-000010,2026-03-30,IT,Rugged Devices,IT,Global IT,SUP-0005,Samsung Knox Devices,143560.0,EUR,80.0,2026-05-02,False,2,Not selected due to higher risk or weaker commercial position,True,False,False,,0.0,28,28,
AWD-000029,REQ-000011,2026-04-28,IT,Smartphones,CH,Data & Analytics,SUP-0004,Apple Business Channel,30030.0,CHF,30.0,2026-06-08,True,1,Selected due to policy compliance and supplier capability,True,False,False,Procurement Manager,2.9,27,23,
AWD-000030,REQ-000011,2026-04-27,IT,Smartphones,CH,Data & Analytics,SUP-0005,Samsung Knox Devices,26481.0,CHF,30.0,2026-06-08,False,2,Not selected due to higher risk or weaker commercial position,True,False,False,,0.0,28,30,
AWD-000031,REQ-000012,2026-03-19,Marketing,Content Production Services,NL,Facilities,SUP-0041,Publicis Digital Europe,515000.0,EUR,5.0,2026-03-13,True,1,Selected due to policy compliance and supplier capability,True,True,False,,5.5,12,16,
AWD-000032,REQ-000012,2026-03-11,Marketing,Content Production Services,NL,Facilities,SUP-0043,Monks Europe,490000.0,EUR,5.0,2026-03-13,False,2,Best compliant combination of price and lead time,True,False,False,Head of Strategic Sourcing,0.0,14,21,
AWD-000033,REQ-000012,2026-03-22,Marketing,Content Production Services,NL,Facilities,SUP-0040,WPP Performance Media,510000.0,EUR,5.0,2026-03-13,False,3,Best compliant combination of price and lead time,True,True,False,Head of Strategic Sourcing,0.0,14,26,
AWD-000034,REQ-000013,2026-03-08,IT,Laptops,FR,Digital Workplace,SUP-0001,Dell Enterprise Europe,5160000.0,EUR,6000.0,2026-04-25,True,1,Selected due to policy compliance and supplier capability,True,True,False,Head of Category,2.8,15,16,
AWD-000035,REQ-000013,2026-02-26,IT,Laptops,FR,Digital Workplace,SUP-0004,Apple Business Channel,5676000.0,EUR,6000.0,2026-04-25,False,2,Rejected because lead time or policy fit was weaker than alternatives,True,False,False,Head of Strategic Sourcing,0.0,14,22,
