supplier_id,supplier_name,category_l1,category_l2,country_hq,service_regions,currency,pricing_model,quality_score,risk_score,esg_score,preferred_supplier,is_restricted,restriction_reason,contract_status,data_residency_supported,capacity_per_month,notes
SUP-0001,Dell Enterprise Europe,IT,Laptops,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,87,16,73,True,False,,active,False,18000,
SUP-0001,Dell Enterprise Europe,IT,Mobile Workstations,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,15,75,True,False,,active,True,18000,
SUP-0001,Dell Enterprise Europe,IT,Monitors,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,87,14,75,True,False,,active,True,18000,
SUP-0001,Dell Enterprise Europe,IT,Docking Stations,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,15,73,True,False,,active,True,18000,
SUP-0001,Dell Enterprise Europe,IT,Replacement / Break-Fix Pool Devices,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,17,68,True,False,,active,False,18000,
SUP-0002,HP Enterprise Devices,IT,Laptops,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,18,74,True,False,,active,True,16000,
SUP-0002,HP Enterprise Devices,IT,Mobile Workstations,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,83,18,74,True,False,,active,False,16000,
SUP-0002,HP Enterprise Devices,IT,Desktop Workstations,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,18,68,True,False,,active,True,16000,
SUP-0002,HP Enterprise Devices,IT,Monitors,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,86,20,69,True,False,,active,True,16000,
SUP-0002,HP Enterprise Devices,IT,Docking Stations,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,83,26,66,True,False,,active,False,16000,
SUP-0003,Lenovo Commercial EU,IT,Laptops,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,83,28,74,True,False,,active,True,15000,
SUP-0003,Lenovo Commercial EU,IT,Desktop Workstations,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,81,23,69,True,False,,active,True,15000,
SUP-0003,Lenovo Commercial EU,IT,Tablets,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,21,73,True,False,,active,True,15000,
SUP-0003,Lenovo Commercial EU,IT,Accessories Bundles,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,23,71,True,False,,active,False,15000,
SUP-0004,Apple Business Channel,IT,Laptops,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,tiered,90,22,76,False,False,,active,True,9000,
SUP-0004,Apple Business Channel,IT,Smartphones,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,tiered,90,23,76,False,False,,active,True,9000,
SUP-0004,Apple Business Channel,IT,Tablets,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,tiered,87,18,74,False,False,,active,True,9000,
SUP-0004,Apple Business Channel,IT,Accessories Bundles,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,tiered,90,20,79,False,False,,active,True,9000,
SUP-0005,Samsung Knox Devices,IT,Smartphones,KR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,81,30,73,False,False,,active,False,12000,
SUP-0005,Samsung Knox Devices,IT,Tablets,KR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,79,24,77,False,False,,active,True,12000,
SUP-0005,Samsung Knox Devices,IT,Rugged Devices,KR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,80,28,71,False,False,,active,True,12000,
SUP-0006,Panasonic Toughbook Europe,IT,Rugged Devices,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,86,15,76,False,False,,active,True,4500,
SUP-0006,Panasonic Toughbook Europe,IT,Replacement / Break-Fix Pool Devices,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,89,23,75,False,False,,active,True,4500,
SUP-0007,Bechtle Workplace Solutions,IT,Laptops,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,82,17,71,True,False,,active,True,11000,
SUP-0007,Bechtle Workplace Solutions,IT,Monitors,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,84,19,63,True,False,,active,True,11000,
SUP-0007,Bechtle Workplace Solutions,IT,Docking Stations,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,82,19,72,True,False,,active,True,11000,
SUP-0007,Bechtle Workplace Solutions,IT,Accessories Bundles,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,80,16,72,True,False,,active,False,11000,
SUP-0007,Bechtle Workplace Solutions,IT,Replacement / Break-Fix Pool Devices,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,19,66,True,False,,active,False,11000,
SUP-0008,Computacenter Devices,IT,Laptops,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,81,32,61,False,True,Restricted for selected categories and countries in policy set,active,True,14000,
SUP-0008,Computacenter Devices,IT,Mobile Workstations,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,80,29,70,False,True,Restricted for selected categories and countries in policy set,active,True,14000,
SUP-0008,Computacenter Devices,IT,Desktop Workstations,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,81,27,64,False,False,,active,True,14000,
SUP-0008,Computacenter Devices,IT,Monitors,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,79,30,67,False,False,,active,True,14000,
SUP-0008,Computacenter Devices,IT,Docking Stations,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,84,34,62,False,False,,active,True,14000,
SUP-0008,Computacenter Devices,IT,Accessories Bundles,UK,DE;FR;NL;BE;AT;IT;ES;PL;UK,EUR,tiered,81,33,69,False,False,,active,True,14000,
SUP-0010,Azure Enterprise,IT,Cloud Compute,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,89,17,71,True,False,,active,True,999999,
SUP-0010,Azure Enterprise,IT,Cloud Storage,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,90,17,68,True,False,,active,True,999999,
SUP-0010,Azure Enterprise,IT,Cloud Networking,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,93,17,66,True,False,,active,True,999999,
SUP-0010,Azure Enterprise,IT,Managed Cloud Platform Services,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,89,12,65,True,False,,active,True,999999,
SUP-0010,Azure Enterprise,IT,Cloud Security Services,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,89,14,73,True,False,,active,True,999999,
SUP-0011,AWS Enterprise EMEA,IT,Cloud Compute,LU,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,87,16,67,False,False,,active,False,999999,
SUP-0011,AWS Enterprise EMEA,IT,Cloud Storage,LU,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,87,20,64,False,False,Country-restricted in CH: data sovereignty. Refer to restricted_suppliers policy RS-002.,active,True,999999,
SUP-0011,AWS Enterprise EMEA,IT,Cloud Networking,LU,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,87,22,68,False,False,,active,True,999999,
SUP-0011,AWS Enterprise EMEA,IT,Managed Cloud Platform Services,LU,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,90,21,62,False,False,,active,False,999999,
SUP-0011,AWS Enterprise EMEA,IT,Cloud Security Services,LU,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,92,24,69,False,False,,active,False,999999,
SUP-0012,Google Cloud Europe,IT,Cloud Compute,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,89,15,75,False,False,,active,False,999999,
SUP-0012,Google Cloud Europe,IT,Cloud Storage,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,90,23,74,False,False,,active,True,999999,
SUP-0012,Google Cloud Europe,IT,Cloud Networking,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,87,21,69,False,False,,active,True,999999,
SUP-0012,Google Cloud Europe,IT,Managed Cloud Platform Services,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,89,21,68,False,False,,active,True,999999,
SUP-0012,Google Cloud Europe,IT,Cloud Security Services,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,84,18,75,False,False,,active,True,999999,
SUP-0013,OVHcloud Enterprise,IT,Cloud Compute,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,76,18,82,False,False,,active,True,999999,
SUP-0013,OVHcloud Enterprise,IT,Cloud Storage,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,76,14,73,False,False,,active,True,999999,
SUP-0013,OVHcloud Enterprise,IT,Cloud Networking,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,usage,80,15,81,False,False,,active,True,999999,
SUP-0013,OVHcloud Enterprise,IT,Managed Cloud Platform Services,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL;US;CA;SG;AU;IN;UAE;BR;MX;JP;ZA,EUR,subscription,76,18,82,False,False,,active,True,999999,
SUP-0014,Swiss Sovereign Cloud,IT,Cloud Compute,CH,CH;DE;FR;AT;IT,CHF,usage,82,11,82,False,False,,active,True,999999,
SUP-0014,Swiss Sovereign Cloud,IT,Cloud Storage,CH,CH;DE;FR;AT;IT,CHF,usage,86,16,81,False,False,,active,True,999999,
SUP-0014,Swiss Sovereign Cloud,IT,Cloud Security Services,CH,CH;DE;FR;AT;IT,CHF,subscription,87,14,84,False,False,,active,True,999999,
SUP-0020,Kinnarps Workplace,Facilities,Workstations and Desks,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,84,17,84,True,False,,active,True,5000,
SUP-0020,Kinnarps Workplace,Facilities,Office Chairs,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,80,19,84,True,False,,active,True,5000,
SUP-0020,Kinnarps Workplace,Facilities,Meeting Room Furniture,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,83,16,78,True,False,,active,True,5000,
SUP-0020,Kinnarps Workplace,Facilities,Storage Cabinets,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,80,17,81,True,False,,active,True,5000,
SUP-0020,Kinnarps Workplace,Facilities,Reception and Lounge Furniture,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,86,14,85,True,False,,active,True,5000,
SUP-0021,Steelcase Europe,Facilities,Workstations and Desks,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,85,23,75,True,False,,active,True,4500,
SUP-0021,Steelcase Europe,Facilities,Office Chairs,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,89,23,70,True,False,,active,False,4500,
SUP-0021,Steelcase Europe,Facilities,Meeting Room Furniture,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,86,16,74,True,False,,active,False,4500,
SUP-0021,Steelcase Europe,Facilities,Reception and Lounge Furniture,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,86,17,75,True,False,,active,True,4500,
SUP-0022,Herman Miller Contract,Facilities,Office Chairs,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,91,22,80,False,False,,active,True,3800,
SUP-0022,Herman Miller Contract,Facilities,Workstations and Desks,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,92,17,81,False,False,,active,True,3800,
SUP-0022,Herman Miller Contract,Facilities,Reception and Lounge Furniture,NL,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,93,17,78,False,False,,active,False,3800,
SUP-0023,IKEA Business,Facilities,Workstations and Desks,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,77,22,67,False,False,,active,False,9000,
SUP-0023,IKEA Business,Facilities,Office Chairs,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,74,24,64,False,False,,active,True,9000,
SUP-0023,IKEA Business,Facilities,Storage Cabinets,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,tiered,77,23,71,False,False,,active,True,9000,
SUP-0023,IKEA Business,Facilities,Meeting Room Furniture,SE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,fixed,72,24,71,False,False,,active,False,9000,
SUP-0024,Bene Office Solutions,Facilities,Workstations and Desks,AT,AT;DE;CH;IT;FR,EUR,tiered,80,19,67,False,False,,active,True,3200,
SUP-0024,Bene Office Solutions,Facilities,Meeting Room Furniture,AT,AT;DE;CH;IT;FR,EUR,fixed,78,17,73,False,False,,active,True,3200,
SUP-0024,Bene Office Solutions,Facilities,Storage Cabinets,AT,AT;DE;CH;IT;FR,EUR,tiered,80,17,73,False,False,,active,False,3200,
SUP-0030,Accenture Advisory Europe,Professional Services,Cloud Architecture Consulting,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,day_rate,91,20,72,True,False,,active,False,2500,
SUP-0030,Accenture Advisory Europe,Professional Services,Cybersecurity Advisory,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,day_rate,89,21,75,True,False,,active,True,2500,
SUP-0030,Accenture Advisory Europe,Professional Services,Data Engineering Services,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,day_rate,90,23,72,True,False,,active,True,2500,
SUP-0030,Accenture Advisory Europe,Professional Services,IT Project Management Services,IE,DE;FR;NL;BE;AT;CH;IT;ES;PL;UK,EUR,day_rate,90,25,66,True,False,,active,False,2500,
SUP-0031,Capgemini Consulting,Professional Services,Cloud Architecture Consulting,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,86,24,73,True,False,,active,False,2200,
SUP-0031,Capgemini Consulting,Professional Services,Cybersecurity Advisory,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,83,19,69,True,False,,active,True,2200,
SUP-0031,Capgemini Consulting,Professional Services,Data Engineering Services,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,83,19,76,True,False,,active,True,2200,
SUP-0031,Capgemini Consulting,Professional Services,Software Development Services,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,blended_rate,89,19,76,True,False,,active,False,2200,
SUP-0031,Capgemini Consulting,Professional Services,IT Project Management Services,FR,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,86,22,69,True,False,,active,False,2200,
SUP-0032,Thoughtworks Europe,Professional Services,Software Development Services,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,blended_rate,89,18,74,False,False,,active,True,1200,
SUP-0032,Thoughtworks Europe,Professional Services,Cloud Architecture Consulting,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,91,17,82,False,False,,active,False,1200,
SUP-0032,Thoughtworks Europe,Professional Services,Data Engineering Services,DE,DE;FR;NL;BE;AT;CH;IT;ES;PL,EUR,day_rate,86,22,77,False,False,,active,True,1200,
SUP-0033,Deloitte Technology Advisory,Professional Services,Cloud Architecture Consulting,CH,CH;DE;FR;AT;IT,CHF,day_rate,84,23,72,False,False,,active,True,1500,
SUP-0033,Deloitte Technology Advisory,Professional Services,Cybersecurity Advisory,CH,CH;DE;FR;AT;IT,CHF,day_rate,88,22,78,False,False,,active,True,1500,
SUP-0033,Deloitte Technology Advisory,Professional Services,IT Project Management Services,CH,CH;DE;FR;AT;IT,CHF,day_rate,86,27,75,False,False,,active,True,1500,
